shop,place,tel,omotenashi,time,holiday,latitude,longitude
居食屋　太平楽,会津若松市桧町3-3,0242-29-6385,今日のお薦めの逸品,17:00～22:00,不定休,37.50045,139.94403
笑楽食酒　ほっぺ,会津若松市栄町5-49,0242-22-5675,ワンドリンクサービス,17:30～24:00,日曜日(但し事前のご予約のみ営業),37.49534,139.93124
酒菜天味,会津若松市栄町4-39パピヨンプラザビル1階西,0242-93-5160,お通しサービス,17:00～23:00,原則日曜日,37.49681,139.93197
串焼　さぶろく亭,会津若松市上町1-27,0242-32-8227,枝豆サービス,17:30～23:30,不定休,37.49651,139.93367
居酒や　ゑびす亭,会津若松市上町1-26,0242-23-1318,小鉢一品サービス,17:00～23:00,毎週日曜日,37.49656,139.93369
居酒屋　舞酒,会津若松市上町1-19,0242-24-6420,おつまみ1品サービス,17:00～23:00,不定休,37.49695,139.93365
ねぼけ茶屋,会津若松市宮町4-6,0242-32-8088,小鉢（枝豆）サービス,17:00～23:00,第三日曜日,37.49582,139.93374
和彩だいにんぐ夢家,会津若松市山鹿町6-67 サイトウBuild104,0242-23-8696,おつまみ1品サービス,17:30～23:00,火曜日,37.49082,139.92674
彩喰彩酒會津っこ,会津若松市栄町4-49,0242-32-6232,お通しサービス,17:00～23:00,日曜日,37.49614,139.93175
居酒屋　よさく,会津若松市馬場町1-42,0242-25-4614,おつまみ1品サービス,17:00～23:30,不定休,37.49737,139.9321
花小路　のり平,会津若松市栄町1-34,0242-25-2577,おつまみ1品サービス,"ランチ　11:30～13:30
夜　17:00～22:00",ランチ　土・日・祝日／夜　日曜日,37.49575,139.92954
お食事処　居酒屋　楽天家,会津若松市大町1丁目8-20,0242-24-0811,鶏もも軟骨唐揚げ、枝豆、自家製なす漬、とうもろこしから1品日替わりサービス,17:00～23:00（L.O.22:30）,日曜日(日・月連休の際は月曜日休み),37.49975,139.92881
會津桜鍋　鶴我　会津本店,会津若松市東栄町4-21,0242-29-4829,ソフトドリンク　1杯サービス,"ランチ　11:30～14:00
夜　17:00～24:00",不定休,37.49491,139.93069
こだわりやま会津若松駅前店,会津若松市駅前町6-420,0242-37-0223,郷土料理　1品サービス,15:00～22:00,月曜日,37.5068,139.93136
やきとり家すみれ会津若松店,会津若松市東千石2-2-1,0242-23-7421,ワンドリンクサービス　290円(税抜き)以下の商品,"平日16:00～24:00
＜テイクアウト全日11:30～＞
土日祝11:30～24:00",無休,37.49769,139.94406
Taro食堂,会津若松市中央1丁目3-12,0242-85-7751,ドリンク１杯サービス(ただし一部商品を除く),17:30～23:00(L.O.),日曜日　ただし月曜祝日の場合営業,37.49909,139.92965
串焼居酒屋　会津豚とん拍子,会津若松市大町1-8-5 カネマンビル1F,0242-37-0888,おすすめのおつまみ1品サービス,17:00～24:00,日曜日(祝前日は営業),37.49945,139.92814
上酒林,会津若松市上町1-16,0242-32-2288,おつまみ1品サービス,17:00～23:00,不定休,37.49703,139.93334
煮ん煮くya,会津若松市栄町5-35つな家ビル1F,0242-23-8540,おつまみ1品サービス,17:00～22:30　(22:00ラストオーダー),木曜日,37.49633,139.93113
Soupcurry&Dining tipu,会津若松市東栄町6-24,0242-77-4037,おつまみ一品サービス,17:30～翌1:00,火曜日,37.49472,139.93229
beercafe thirdplace,会津若松市上町8-23 U0823ビル1F,0242-77-5085,おつまみ1品サービス,17:30～翌1:00,火曜日,37.49689,139.93499
Teppanyakiあいづ家,会津若松市七日町2-51,0242-29-0371,ドリンク1杯無料,11:30～13:30(Lo)18:00～21:00(Lo),月曜日(祝日の場合翌日),37.49944,139.92408
レストランバー　マーティン,会津若松市栄町1-25,0242-25-3536,イタリア産生ハム,"ランチ　11:30～14:30
ディナー　17:30～22:30",火曜日,37.49589,139.9287
あいづ浪漫亭しおぐら,会津若松市中町4-16,0242-93-7500,生ビール一杯サービス,10:30～21:00（ ラストオーダー20:00）,水曜日,37.49745,139.92738
Bar  Octave,会津若松市栄町7-17 甲賀ビル1F,0242-24-3634,自家製生チョコレートをささやかに。,17:00～24:00,時々日曜日,37.49629,139.93212
the bar cozy,会津若松市栄町8-19,0242-33-0752,ミックスナッツ,19:00～翌3:00,無し,37.4964,139.93297
Cafe&Bar UNO,会津若松市七日町2-40,0242-29-6500,カップデザート,18:00～23:00,月曜日,37.49974,139.92315
Shot Bar Rush,会津若松市上町2-1 パティオビル1F,0242-25-1557,おつまみ1品サービス,20:00～翌5:00,不定休,37.49753,139.93278
スポーツバー　ウィザーズ,会津若松市東栄町6-14,0242-29-1665,（フライドポテトorチキンナゲット）どちらか1品,20:00～翌3:00,月曜日,37.49485,139.93139
DOG HOUSE,会津若松市大町1丁目1-50,0242-27-5858,ソフトクリームサービス,"ランチ　11:30～14:00
バー　17:00～翌1:00",火曜日,37.49849,139.92738
炭火焼肉　棕櫚,会津若松市中央1-3-3,0242-32-5433,お通しサービス,"11:30～14:00
17:00～22:00(ラストオーダー)",毎週水曜日／毎週木曜日(ランチタイム),37.49873,139.93066
元祖　ほるもん道場　会津清水通り店,会津若松市栄町4-28,0242-24-9484,おつまみ1品サービス,17:00～24:00,無休,37.49671,139.93099
すし万　大将,会津若松市町北町藤室字達磨162-2,0242-22-1980,小鉢一品サービス,11:00～14:00　／　17:00～20:00,第２・４日曜日,37.51701,139.91308
ラーメン居酒屋　寿楽,会津若松市馬場町2-45,0242-24-8641,グラスビール,17:00～23:30L.O.,日曜日,37.49799,139.93257
会津とんかつの店　とん八,会津若松市扇町80-2,0242-22-1078,生ビール半額,"平日　11:08～15:08　17:38～21:08
土日祝　11:08～15:08　17:08～21:08",毎月第一、四水曜日,37.5136,139.93655
とんかつ番番,会津若松市東千石2丁目1-32,0242-27-6327,記載なし,11:00～14:30　／　17:00～20:00,毎週水曜日,37.49913,139.94387
スナック  パピヨン,会津若松市宮町4-4北日本ビル新館2F,0242-32-2237,おつまみ一品サ-ビス,20:00～翌1:00,日曜日,37.49558,139.93355
魅羽,会津若松市上町9-10センチュリ-ノアビル407,0242-32-1422,カラオケ歌い放題,20:00～翌1:00,日曜日。日月連休の場合月曜日,37.49673,139.93411
シャイン,会津若松市栄町6-1マリンビル4F,0242-36-7703,おつまみ1品ｻｰﾋﾞｽ,20:00～翌1:00,日、祭日,37.49509,139.93114
Luminous,会津若松市上町9-10 センチュリ-ノアビル402,0242-37-7117,おつまみ1品サービス,21:00～翌1:00,日曜日,37.49673,139.93411
Ray,会津若松市宮町4-12 明月ビル2F,0242-23-9666,焼酎orウイスキー１杯サービス,21:00～24:00,日・祝,37.49615,139.93387
スナック アゲイン,会津若松市栄町8-24 エクシ-ド99ビル 1F,0242-39-6357,カラオケ無料,20:00～翌1:00,日曜・祝日,37.49625,139.93338
スナックみき,会津若松市栄町8-24 エクシ-ド99,0242-22-8839,おつまみ一品サービス,19:30～翌1:00,日曜日,37.49627,139.93332
ニューペガサス,会津若松市栄町7-7,0242-23-1508,カラオケサービス,19:00～24:00,月曜日,37.49535,139.93158
エンジェルドリーム,会津若松市栄町6-1マリンビル4階,0242-39-3839,ビール1杯,19:00～翌2:00,日曜日,37.49509,139.93114
Shell,会津若松市上町2-1 パティオビル2F,0242-33-3403,おつまみ1品,21:00～翌2:00,水・日,37.49753,139.93278
輝星～キラキラボシ～,会津若松市栄町5-35 つな家ビル1F,0242-22-8223,おつまみ1品サービス,20:00～翌2:00,不定休,37.49638,139.93118
JUICY～ジューシー～,会津若松市駅前町6-27 フジヤビル1F,0242-85-8545,おつまみ1品サービス,20:00～翌1:00,不定休,37.50663,139.93128
GranRose,会津若松市栄町5番46号,0242-25-0921,カラオケ2曲サービス,20:00～翌2:00,不定休,37.49564,139.93108
香おる,会津若松市栄町6-5,0242-22-7622,生ビール1杯,19:00～24:00,日曜日,37.49509,139.93084
更紗,会津若松市栄町6‐1 マリン55ビル3F,0242-22-3141,生ビール1杯,20:00～翌2:00,日曜日 祝日,37.49512,139.93117
語らいとダイニングの店　ゆめじ,会津若松市宮町4-12　明月ビル1F,,会津夏野菜　三五八漬け,18：30～24：00,日曜日,37.49615,139.93382
カラオケ喫茶&スナック　せせなぎ,会津若松市上町7-24　上町第一ビル1F,0242-23-8100,おつまみ1品サービス,12:00～22:00,毎週月曜日・火曜日の昼・第二日曜日,37.49767,139.93527
Supper Club Fool's,会津若松市栄町6-1　マリンビル1-2,0242-36-7778,飲み放題…30分サービス／単品…1ドリンクサービス,PM8：00～AM5：00,日曜日,37.49512,139.93117
Derd(ディード),会津若松市栄町7-7 ステージ707 1F,0242-24-2211,秘密のメニューから1つサービス,20:00～24:00,日曜日,37.49532,139.9316
焼きや,会津若松市大町1-8-25,0242-22-0120,生ビール150円引き,17：00～21：30,日曜日　予約OK,37.49951,139.92891
會津バル,会津若松市大町1丁目9-5 石川ビル1階,0242-36-7257,おつまみ一品サービス,"ランチ11:30～15:00
ディナー18:00～22:00",無休,37.49868,139.92809
かんのや,会津若松市行仁町4-11,0242-22-3904,おつまみ１品サービス,"昼11:00～14:30
夜 予約のみ",不定休,37.499,139.93647
ダイニングバー　オルテンシア,会津若松市行仁町2番35号,0242-22-6668,おつまみ1品サービス,ランチ　11:30～15:00　／ディナー　17:30～23:00,月曜日・第3日曜日,37.49655,139.93576
和風れすとらん　くいしん坊,会津若松市中町4-31,0242-26-8239,1品サービス,11:00～21:00,不定休,37.49753,139.92817
居酒屋　源,会津若松市古川町3-5,0242-28-0771,おつまみ1品サービス,17:00～23:00,火曜日,37.47817,139.92662
地酒処　天竜,会津若松市大町2-5-15,0242-25-1484,おつまみ1品サービス,17:00～23:00(22:30LO),日曜日(翌祝日の場合営業、翌日休み),37.50459,139.93006
スナック ドルフィン,会津若松市栄町4-39　パピヨンビル1F,,カラオケ2曲サービス,平日　20:00～24:00　/金土　20:00～25:00,日曜・祭日　(金・土が祭日の場合営業),37.49681,139.93197
Diningbar  Clorer,会津若松市栄町4-12　エクシードビルⅡ　1F-A,0242-93-5277,プチデザートサービス,月～木　18:00～25:00　/金・土　18:00～27:00,日曜日,37.49654,139.93115
日本酒バー 會津蔵武,会津若松市栄町8-44,0242-85-6039,"お好きな飲み物をグラス1杯サービス
※開封済の飲み物に限ります。",17:00～22:00,日曜月曜,37.49476,139.93305
やんちゃ,会津若松市上町2-1　パティオビル4Ｆ,0242-32-5231,生ビール1杯サービス,20時～ラスト,日曜,37.49753,139.93278
らぶLOVEラブ,会津若松市栄町5-47,0242-24-6922,カラオケ,18:00～25:00,日曜日,37.49544,139.93129
酒家 盃爛処,会津若松市中央1-3-23,0242-25-0062,おつまみ一品サービス,17:00～22:00(L.O),日曜不定休,37.499579,139.929307